frame,id,x,y,cid
0,0,1065.6932166217216,240.5067036210118,0
0,1,1056.860731559292,256.0338894363499,0
0,2,1121.0540913034167,275.41155369360774,0
0,3,1109.1055751895842,236.56339713307736,0
0,4,1101.1933902506205,265.65912581412977,0
0,5,1068.3493286889966,236.4190543632308,0
0,6,1032.616013700563,194.8027870257227,0
0,0,1084.6130477816796,245.35034779442972,0
0,1,1076.1783524929365,258.9062441261511,0
0,2,1140.254968931692,278.9818755704138,0
1,3,1126.867920524156,228.44428460673467,0
1,4,1115.0223250358724,279.4497553394721,0
1,5,1087.3077480678337,241.1093885364149,0
1,6,1051.267430190125,200.5946401775984,0
1,0,1103.7044049571737,249.46629011639115,0
1,1,1095.2889184552432,262.9320569136902,0
1,2,1159.4327029980102,282.674491998041,0
1,3,1145.436760712224,222.39291500390988,0
1,4,1129.3806900355787,292.6882694001668,0
1,5,1106.4591794454502,244.93608112773185,0
2,6,1070.227428264821,205.27858861962207,0
2,0,1122.5457192099218,254.60689097905188,0
2,1,1114.2359898559191,267.66802411561264,0
2,2,1178.551547592633,286.6608037478501,0
2,3,1164.7658386953617,219.5986987771693,0
2,4,1145.413583016435,303.84027561718494,0
2,5,1125.509705266551,249.2370538013916,0
2,6,1088.8828792940265,211.0574333914516,0
2,0,1141.0652603644578,260.8074954193826,0
2,1,1133.1980096391917,272.343781352552,0
3,2,1197.6178712457224,290.8911940792075,0
3,3,1184.1899189655726,217.56744161560508,0
3,4,1162.5369739959478,313.2323138072022,0
3,5,1144.3774215632309,254.27988849509336,0
3,6,1107.2071970298066,217.8131923805049,0
3,0,1159.3671060527486,267.6238980191407,0
3,1,1152.043654794773,277.468482189666,0
3,2,1178.6072410489824,295.3652123539573,0
3,3,1164.675594997288,216.78509894079235,0
3,4,1179.9475401294262,322.08065189476304,0
4,5,1163.5180955794272,258.1600300138665,0
4,6,1125.5517005168128,224.51394545872023,0
4,0,1177.4412199663466,275.0230402828281,0
4,1,1170.7221484351155,283.1724084977173,0
4,2,1190.9948483388068,310.4638243972243,0
4,3,1181.744533567905,207.29445954860665,0
4,4,1196.829015187095,331.9008708270124,0
4,5,1182.2325277938642,263.7449137988024,0
4,6,1143.5254450010743,232.1536711877291,0
4,0,1195.1412178330663,283.2771892709496,0
5,1,1189.6068762915563,288.151158721234,0
5,2,1178.277203508864,325.2855115474588,0
5,3,1163.0835578710542,201.5334799408016,0
5,4,1180.5705064103988,342.7213048459461,0
5,5,1163.3633787290323,268.7823847485111,0
5,6,1161.183557795263,240.4970489538209,0
5,0,1177.8680570873737,292.39085032748767,0
5,1,1171.2506275153503,294.81966911457005,0
5,2,1179.8865714442752,344.7490886813895,0
5,3,1173.592876370002,185.07215785879143,0
6,4,1184.9200638857749,361.76079669232695,0
6,5,1173.173392063905,285.669792434998,0
6,6,1177.936304517672,250.5352946797838,0
6,0,1185.6292731991384,310.3124692405904,0
6,1,1179.6174179409893,312.46670053556085,0
6,2,1182.3077704387058,364.1284254974255,0
6,3,1183.2554284634605,168.09994565645312,0
6,4,1190.2563361371506,380.5476298064842,0
6,5,1181.7628337139593,303.209529951287,0
6,6,1192.9303376033463,263.04928172731195,0
7,0,1192.3711259469242,328.6419078988574,0
7,1,1188.2764093640628,329.9722073130049,0
7,2,1186.1568160981578,383.2753768869145,0
7,3,1192.645413199975,150.97542853485174,0
7,4,1196.9025682039194,398.9119566200283,0
7,5,1189.2778833914267,321.2357588510096,0
7,6,1179.7921056384082,277.4994637619951,0
7,0,1199.8032730786997,346.7024751383336,0
7,1,1195.8895410066823,347.95723237810137,0
7,2,1189.925772257641,402.4382542665747,0
8,3,1183.9493030105134,133.488331360857,0
8,4,1188.9388834413396,416.74452864433977,0
8,5,1195.9923811348056,339.57523594426834,0
8,6,1180.9153139962532,296.9971380588149,0
8,0,1192.5113022926296,364.820092588073,0
8,1,1187.614013196063,365.6472447991165,0
8,2,1192.8373443129155,421.7500032336399,0
8,3,1178.1373850600546,114.84315746150344,0
8,4,1172.0494961461131,426.5511333978638,0
8,5,1190.132751111434,358.2054704030507,0
9,6,1182.7761616680775,316.43828375402194,0
9,0,1186.5144359913177,383.4066063699577,0
9,1,1183.8316304061316,384.8074765417241,0
9,2,1192.647295826774,441.2790785208345,0
9,3,1171.5179899832906,96.46914024104476,0
9,4,1156.6007588116258,438.49924683765073,0
