name,method,params,matrix,clustering,runtime
COMET,ship,"{'partitioning_method': <PartitioningMethod.Stability: 12>, 'hierarchie': 2, 'tiebreaker_method': 'euclidean_distance'}",delta,[1 1 1 1 0 0 0 0 0 2 2 2 5 5 5 4 4 4 3 3 3],5.08122444152832
COMET,ship,"{'partitioning_method': <PartitioningMethod.Stability: 12>, 'hierarchie': 2, 'tiebreaker_method': 'euclidean_distance'}",delta+1std,[1 1 1 1 0 0 0 0 0 2 2 2 4 4 4 4 4 4 3 3 3],10.153186559677124
