#          STEP          TOTAL        KINETIC      POTENTIAL           HARM          MORSE          ANGLE       DIHEDRAL        NLMORSE
          74000       -173.249        189.845       -363.094        68.0414       -311.036        97.6681        27.0767       -244.844
          75000       -216.772         168.87       -385.642         57.817       -317.769         97.738        29.1658       -252.594
          76000       -194.179        176.082       -370.261         70.759       -316.686        99.2676        30.2666       -253.868
          77000       -180.803        184.935       -365.738         58.652       -308.387        91.8918        37.1286       -245.024
          78000       -200.316        184.568       -384.884        63.1917       -316.937        95.6171        24.0868       -250.843
          79000       -212.599        166.873       -379.472        59.4965       -315.705        101.834        25.6589       -250.757
          80000       -190.558        169.462       -360.021        57.9093       -304.108        99.8445        31.0891       -244.755
          81000       -205.682        167.651       -373.334        65.6519       -313.768        97.3704         33.928       -256.516
          82000       -194.586        166.185       -360.771        59.8555       -307.796        100.915        34.4723       -248.218
          83000       -208.245        166.062       -374.307        56.2386       -313.541        99.8692        24.9576       -241.831
          84000       -204.489        171.659       -376.148        66.5378       -315.442        100.722        27.5641        -255.53
          85000       -212.652        180.644       -393.297        59.6435       -315.443        96.4926        21.3282       -255.317
          86000       -204.279        178.172       -382.452        63.8156       -314.732        92.6245        29.4702        -253.63
          87000       -212.458        167.762        -380.22        65.2865       -311.298        92.9672        23.2965       -250.472
          88000       -215.914         166.16       -382.073        56.0151       -313.437        101.224        25.8025       -251.678
          89000        -187.01        178.203       -365.214        65.9938       -313.986        103.251        31.8545       -252.327
          90000       -185.218        174.861       -360.079         70.863       -311.551        103.888        27.9078       -251.187
          91000       -203.638        165.046       -368.683        73.3279        -320.36        106.059        25.1251       -252.835
          92000       -203.942        170.497       -374.439          68.69       -319.444        101.215        28.9489        -253.85
          93000       -177.227        177.884       -355.111        73.9407       -307.046         95.364        32.3749       -249.745
          94000       -183.583        186.051       -369.635        66.3757       -307.523         98.626        29.3331       -256.446
          95000       -196.677        165.768       -362.445        71.0923       -318.106        103.079        26.1904       -244.701
          96000       -166.304        178.447       -344.751        69.9723       -306.663        100.293         32.089       -240.442
          97000       -182.397         174.59       -356.987        68.1286       -313.571         101.18        35.5038       -248.228
          98000       -200.292        171.503       -371.795         59.019       -300.539        97.4247        29.1702        -256.87
          99000       -194.121        177.042       -371.163         59.291        -314.51        102.609        25.7474       -244.301
         100000       -190.271          174.5       -364.771        67.4187       -306.721        97.6836        29.0261       -252.179
         101000       -203.417         163.55       -366.967        62.9338       -311.384        102.026        34.6676       -255.211
         102000       -191.916         178.21       -370.126        70.0976       -314.645        99.0016        30.4849       -255.065
         103000       -189.228        180.928       -370.156        64.2186       -318.508        103.818        33.4045       -253.089
         104000        -173.14        176.159       -349.299        72.6045       -310.262        104.895        29.4785       -246.015
         105000       -193.055        164.757       -357.812        58.6754       -305.194        98.1617        33.1128       -242.568
         106000       -207.013        165.399       -372.412        65.5007       -310.351        97.0057        26.5553       -251.122
         107000       -172.851        185.431       -358.282        68.5447       -305.972        98.5318         32.511       -251.897
         108000        -184.85        166.794       -351.645        79.4832       -308.506         96.254         37.458       -256.334
         109000       -222.001        162.447       -384.448        52.5695       -312.036        103.503        25.8224       -254.307
         110000       -217.801        163.674       -381.475        63.3325       -315.822        100.138        30.4326       -259.556
         111000       -179.562        174.727       -354.289        76.6172       -310.314        97.4914        27.9453       -246.029
         112000        -220.55        166.862       -387.411        63.7236       -314.329        97.1824         25.084       -259.073
         113000       -217.797        160.482       -378.279        52.9918       -311.626        101.865        28.9477       -250.457
         114000       -215.819        163.633       -379.452        60.2594       -311.064        96.1494          28.03       -252.827
         115000       -205.089        169.212       -374.301        74.5002       -314.254        95.0742        25.4515       -255.072
         116000       -211.766        160.278       -372.044        54.0124       -310.723        97.7875        29.1647       -242.286
         117000       -189.137        187.643        -376.78        64.4418       -310.061        94.0561        25.9984       -251.216
         118000       -148.804        194.058       -342.862        60.2454       -307.792        107.189          35.54       -238.044
         119000       -218.767          170.3       -389.066        66.3798       -318.208        95.3723        25.4276       -258.038
         120000       -191.776        175.613       -367.388        67.4851       -320.015        99.4516        33.3091       -247.619
         121000       -220.452        161.757       -382.208        63.5778       -322.648        95.9438        38.7461       -257.828
