frame,id,x,y,cid
0,0,-47.001,-13.015,0
0,1,-47.221,-12.965,0
0,2,-46.994,-12.996,0
0,3,-46.196,-12.461,0
0,4,-45.801,-11.924,0
0,5,-46.408,-12.595,0
0,6,-45.973,-12.315,0
0,7,-46.236,-12.483,0
0,8,-45.766,-11.799,0
0,9,-46.766,-12.883,0
1,0,-46.885,-12.93,0
1,1,-47.078,-12.948,0
1,2,-46.861,-12.94,0
1,3,-46.091,-12.363,0
1,4,-45.911,-12.018,0
1,5,-46.281,-12.529,0
1,6,-45.875,-12.209,0
1,7,-46.125,-12.391,0
1,8,-45.877,-11.892,0
1,9,-46.64,-12.813,0
2,0,-46.783,-12.828,0
2,1,-46.943,-12.904,0
2,2,-46.736,-12.869,0
2,3,-45.992,-12.259,0
2,4,-46.018,-12.114,0
2,5,-46.186,-12.422,0
2,6,-45.813,-12.08,0
2,7,-46.025,-12.287,0
2,8,-45.979,-11.994,0
2,9,-46.517,-12.738,0
3,0,-46.65,-12.772,0
3,1,-46.828,-12.817,0
3,2,-46.608,-12.802,0
3,3,-45.919,-12.135,0
3,4,-46.129,-12.207,0
3,5,-46.076,-12.329,0
3,6,-45.739,-11.956,0
3,7,-45.945,-12.168,0
3,8,-46.069,-12.106,0
3,9,-46.413,-12.638,0
4,0,-46.521,-12.708,0
4,1,-46.724,-12.717,0
4,2,-46.492,-12.717,0
4,3,-45.879,-11.997,0
4,4,-46.224,-12.315,0
4,5,-45.983,-12.219,0
4,6,-45.706,-11.818,0
4,7,-45.886,-12.036,0
4,8,-46.153,-12.223,0
4,9,-46.315,-12.533,0
5,0,-46.41,-12.617,0
5,1,-46.626,-12.611,0
5,2,-46.359,-12.662,0
5,3,-45.861,-11.854,0
5,4,-46.329,-12.413,0
5,5,-45.898,-12.103,0
5,6,-45.745,-11.68,0
5,7,-45.889,-11.894,0
5,8,-46.259,-12.321,0
5,9,-46.219,-12.425,0
6,0,-46.301,-12.522,0
6,1,-46.504,-12.535,0
6,2,-46.254,-12.565,0
6,3,-45.849,-11.71,0
6,4,-46.441,-12.503,0
6,5,-45.858,-11.966,0
6,6,-45.823,-11.559,0
6,7,-45.932,-11.756,0
6,8,-46.368,-12.415,0
6,9,-46.162,-12.293,0
7,0,-46.207,-12.413,0
7,1,-46.386,-12.453,0
7,2,-46.203,-12.43,0
7,3,-45.851,-11.566,0
7,4,-46.547,-12.601,0
7,5,-45.826,-11.825,0
7,6,-45.932,-11.464,0
7,7,-45.949,-11.613,0
7,8,-46.477,-12.509,0
7,9,-46.102,-12.162,0
8,0,-46.109,-12.308,0
8,1,-46.265,-12.374,0
8,2,-46.137,-12.303,0
8,3,-45.914,-11.44,0
8,4,-46.664,-12.684,0
8,5,-45.817,-11.681,0
8,6,-46.046,-11.509,0
8,7,-45.962,-11.47,0
8,8,-46.599,-12.587,0
8,9,-46.018,-12.046,0
9,0,-46.027,-12.189,0
9,1,-46.162,-12.273,0
9,2,-46.093,-12.165,0
9,3,-46.019,-11.349,0
9,4,-46.793,-12.749,0
9,5,-45.827,-11.538,0
9,6,-46.107,-11.64,0
9,7,-46.023,-11.34,0
9,8,-46.733,-12.64,0
9,9,-45.953,-11.919,0
10,0,-45.956,-12.063,0
10,1,-46.057,-12.175,0
10,2,-46.042,-12.03,0
10,3,-46.111,-11.449,0
10,4,-46.927,-12.799,0
10,5,-45.881,-11.406,0
10,6,-46.174,-11.767,0
10,7,-46.112,-11.231,0
10,8,-46.871,-12.681,0
10,9,-45.927,-11.779,0
11,0,-45.938,-11.921,0
11,1,-45.948,-12.081,0
11,2,-46.006,-11.892,0
11,3,-46.186,-11.572,0
11,4,-47.07,-12.79,0
11,5,-45.981,-11.303,0
11,6,-46.249,-11.891,0
11,7,-46.201,-11.317,0
11,8,-47.007,-12.728,0
11,9,-45.971,-11.642,0
12,0,-45.957,-11.779,0
12,1,-45.903,-11.947,0
12,2,-46.041,-11.754,0
12,3,-46.243,-11.704,0
12,4,-47.088,-12.684,0
12,5,-46.077,-11.195,0
12,6,-46.32,-12.016,0
12,7,-46.265,-11.446,0
12,8,-47.149,-12.754,0
12,9,-46.042,-11.517,0
13,0,-45.992,-11.639,0
13,1,-45.95,-11.815,0
13,2,-46.14,-11.651,0
13,3,-46.306,-11.833,0
13,4,-47.005,-12.566,0
13,5,-46.204,-11.139,0
13,6,-46.361,-12.154,0
13,7,-46.296,-11.587,0
13,8,-47.177,-12.665,0
13,9,-46.13,-11.405,0
14,0,-46.068,-11.517,0
14,1,-46.073,-11.74,0
14,2,-46.23,-11.54,0
14,3,-46.334,-11.975,0
14,4,-46.924,-12.446,0
14,5,-46.247,-11.269,0
14,6,-46.456,-12.26,0
14,7,-46.278,-11.73,0
14,8,-47.089,-12.551,0
14,9,-46.257,-11.339,0
15,0,-46.163,-11.408,0
15,1,-46.207,-11.687,0
15,2,-46.283,-11.405,0
15,3,-46.389,-12.107,0
15,4,-46.833,-12.335,0
15,5,-46.217,-11.41,0
15,6,-46.583,-12.326,0
15,7,-46.294,-11.873,0
15,8,-47.005,-12.435,0
15,9,-46.394,-11.346,0
16,0,-46.253,-11.296,0
16,1,-46.349,-11.663,0
16,2,-46.356,-11.282,0
16,3,-46.49,-12.21,0
16,4,-46.761,-12.21,0
16,5,-46.201,-11.554,0
16,6,-46.727,-12.325,0
16,7,-46.332,-12.012,0
16,8,-46.931,-12.311,0
16,9,-46.459,-11.473,0
17,0,-46.347,-11.188,0
17,1,-46.493,-11.659,0
17,2,-46.484,-11.249,0
17,3,-46.626,-12.253,0
17,4,-46.674,-12.096,0
17,5,-46.252,-11.687,0
17,6,-46.871,-12.32,0
17,7,-46.394,-12.142,0
17,8,-46.826,-12.213,0
17,9,-46.505,-11.609,0
18,0,-46.488,-11.163,0
18,1,-46.63,-11.691,0
18,2,-46.572,-11.362,0
18,3,-46.77,-12.245,0
18,4,-46.581,-11.986,0
18,5,-46.333,-11.806,0
18,6,-47.015,-12.315,0
18,7,-46.509,-12.224,0
18,8,-46.729,-12.106,0
18,9,-46.527,-11.751,0
19,0,-46.603,-11.229,0
19,1,-46.731,-11.794,0
19,2,-46.618,-11.497,0
19,3,-46.91,-12.212,0
19,4,-46.467,-11.898,0
19,5,-46.436,-11.907,0
19,6,-47.155,-12.348,0
19,7,-46.651,-12.243,0
19,8,-46.639,-11.994,0
19,9,-46.549,-11.894,0
20,0,-46.654,-11.363,0
20,1,-46.808,-11.915,0
20,2,-46.623,-11.64,0
20,3,-47.051,-12.182,0
20,4,-46.359,-11.804,0
20,5,-46.535,-12.012,0
20,6,-47.296,-12.334,0
20,7,-46.795,-12.236,0
20,8,-46.523,-11.909,0
20,9,-46.542,-12.038,0
21,0,-46.659,-11.507,0
21,1,-46.834,-12.056,0
21,2,-46.591,-11.781,0
21,3,-47.184,-12.128,0
21,4,-46.294,-11.676,0
21,5,-46.637,-12.114,0
21,6,-47.331,-12.222,0
21,7,-46.935,-12.205,0
21,8,-46.425,-11.806,0
21,9,-46.55,-12.18,0
22,0,-46.682,-11.649,0
22,1,-46.81,-12.197,0
22,2,-46.57,-11.923,0
22,3,-47.287,-12.033,0
22,4,-46.356,-11.563,0
22,5,-46.75,-12.203,0
22,6,-47.197,-12.171,0
22,7,-47.053,-12.127,0
22,8,-46.383,-11.671,0
22,9,-46.651,-12.276,0
23,0,-46.681,-11.792,0
23,1,-46.791,-12.339,0
23,2,-46.584,-12.066,0
23,3,-47.239,-11.905,0
23,4,-46.495,-11.582,0
23,5,-46.881,-12.262,0
23,6,-47.055,-12.179,0
23,7,-47.134,-12.007,0
23,8,-46.443,-11.543,0
23,9,-46.793,-12.304,0
24,0,-46.599,-11.91,0
24,1,-46.817,-12.481,0
24,2,-46.68,-12.169,0
24,3,-47.111,-11.841,0
24,4,-46.632,-11.629,0
24,5,-47.01,-12.326,0
24,6,-46.925,-12.24,0
24,7,-47.185,-11.873,0
24,8,-46.561,-11.462,0
24,9,-46.934,-12.33,0
25,0,-46.555,-12.044,0
25,1,-46.856,-12.619,0
25,2,-46.805,-12.239,0
25,3,-46.969,-11.834,0
25,4,-46.759,-11.697,0
25,5,-47.149,-12.307,0
25,6,-46.798,-12.307,0
25,7,-47.162,-11.732,0
25,8,-46.701,-11.486,0
25,9,-47.075,-12.312,0
26,0,-46.589,-12.183,0
26,1,-46.937,-12.734,0
26,2,-46.948,-12.258,0
26,3,-46.833,-11.876,0
26,4,-46.86,-11.798,0
26,5,-47.239,-12.202,0
26,6,-46.682,-12.392,0
26,7,-47.061,-11.634,0
26,8,-46.799,-11.583,0
26,9,-47.181,-12.215,0
27,0,-46.597,-12.327,0
27,1,-47.025,-12.668,0
27,2,-47.085,-12.291,0
27,3,-46.718,-11.963,0
27,4,-46.974,-11.879,0
27,5,-47.28,-12.064,0
27,6,-46.545,-12.419,0
27,7,-46.925,-11.589,0
27,8,-46.774,-11.723,0
27,9,-47.271,-12.104,0
28,0,-46.629,-12.466,0
28,1,-46.995,-12.528,0
28,2,-47.151,-12.416,0
28,3,-46.657,-12.091,0
28,4,-47.115,-11.908,0
28,5,-47.306,-11.922,0
28,6,-46.441,-12.324,0
28,7,-46.788,-11.629,0
28,8,-46.774,-11.867,0
28,9,-47.316,-11.968,0
29,0,-46.733,-12.564,0
29,1,-46.885,-12.442,0
29,2,-47.201,-12.551,0
29,3,-46.648,-12.235,0
29,4,-47.256,-11.88,0
29,5,-47.32,-11.779,0
29,6,-46.397,-12.188,0
29,7,-46.669,-11.707,0
29,8,-46.831,-11.999,0
29,9,-47.273,-11.833,0
30,0,-46.859,-12.633,0
30,1,-46.762,-12.367,0
30,2,-47.171,-12.686,0
30,3,-46.678,-12.376,0
30,4,-47.364,-11.79,0
30,5,-47.261,-11.65,0
30,6,-46.388,-12.044,0
30,7,-46.601,-11.831,0
30,8,-46.882,-12.134,0
30,9,-47.163,-11.744,0
31,0,-46.999,-12.665,0
31,1,-46.666,-12.26,0
31,2,-47.059,-12.776,0
31,3,-46.695,-12.519,0
31,4,-47.454,-11.677,0
31,5,-47.141,-11.578,0
31,6,-46.394,-11.9,0
31,7,-46.591,-11.975,0
31,8,-46.938,-12.267,0
31,9,-47.024,-11.706,0
32,0,-47.138,-12.633,0
32,1,-46.591,-12.137,0
