frame,id,x,y,cid
0,0,0.28864673692748355,-7.068756867966989,0
0,1,1.2455971354879682,-8.26040713969692,0
0,2,1.5386372659348335,-11.792822482838586,0
0,3,-1.7009953468341887,-8.716782319826315,0
0,4,3.729849961869429,-8.799631844540194,0
0,5,1.7030468964952963,-6.856779709606286,0
0,6,1.4072905781248612,-8.335676838387782,0
0,7,0.13365964972180944,-6.729992559802369,0
0,8,1.9039524354188746,-8.029478963202237,0
0,9,-0.4151938071279011,-6.799441974308444,0
0,10,0.9563296648969389,-10.035339767118097,0
0,11,1.6310493197051485,-6.75278790861683,0
0,12,-0.12519990125051583,-8.239899830067747,0
0,13,-0.36482574971879156,-6.764901619357846,0
0,14,1.067617715286038,-8.474501045682642,0
0,15,1.8648502012733834,-9.855526699075837,0
0,16,-0.9764394633902176,-8.99093358443707,0
0,17,4.025550387364019,-10.132963627422082,0
0,18,-0.4648006088543275,-9.787813788346831,0
0,19,-0.18678666201894534,-11.329145571607386,0
0,20,3.6831353125900437,-6.49675336464119,1
0,21,5.311848343080783,-5.245263574760904,1
0,22,2.6938269160297232,-6.0051856107531325,1
0,23,2.954931612262476,-8.642354326097147,1
0,24,6.157558612854183,-5.816658218683535,1
0,25,5.031431942150258,-5.014076717914557,1
0,26,6.434528169737126,-7.62262403681192,1
0,27,3.070308988858314,-5.157034495210305,1
0,28,5.155175946614662,-7.616913528280464,1
0,29,6.312897275176572,-3.2911365355088944,1
0,30,1.6732424469991265,-4.727415246551895,1
0,31,8.118998922242483,-7.058499293302532,1
0,32,2.9205173259306534,-6.373782100723596,1
0,33,4.574250168197783,-6.539427457902995,1
0,34,6.7206919048545775,-6.556260598783552,1
0,35,1.2613184360254133,-5.565056750089396,2
0,36,1.9534173633029617,-9.67414490486394,2
0,37,1.8680682556602775,-6.869944965603112,2
0,38,-1.0415197191206134,-5.21960847989007,2
0,39,0.18191535966101036,-6.363359936666618,2
0,40,0.4850115597868939,-7.370379625864229,2
0,41,-1.5468034410358527,-7.086149860250865,2
0,42,0.9390864749599044,-2.595835053995311,2
0,43,2.593403847609237,-8.461016291822528,2
0,44,0.3902414585325913,-4.41831373389678,2
0,45,2.2249082226777537,-8.448684378468577,2
0,46,2.556527780499798,-9.419590750763389,2
0,47,0.5993357079440583,-5.856689911483805,2
0,48,2.7878806362449255,-7.094022903355568,2
0,49,-2.6022787714555595,-7.677778738266728,2
1,0,-1.0251836586936478,-7.445073238838614,0
1,1,0.0441025788604863,-7.868710485573382,0
