timestamp,filename,seed,num_points,num_frames,clusters,points_per_cluster,randomness_level,vel_magnitude,oscillation_magnitude,oscillation_factor,overlap_factor
2026-02-08T11:47:28.027675,simulations_5/particle_sim_random_33.csv,464485,50,2000,"[0, 1, 2, 3]","[20, 15, 15]",0.2,0.8,0.05,10,1.5
2026-02-08T11:47:28.358303,simulations_5/particle_sim_random_34.csv,587408,50,2000,"[0, 1, 2, 3]","[20, 15, 15]",0.8,0.8,0.05,10,1.5
2026-02-08T11:47:28.856730,simulations_5/particle_sim_random_35.csv,907616,50,3000,"[0, 1, 2, 3]","[20, 15, 15]",0.2,0.8,0.05,10,1.5
2026-02-08T11:47:29.341512,simulations_5/particle_sim_random_36.csv,274353,50,3000,"[0, 1, 2, 3]","[20, 15, 15]",0.8,0.8,0.05,10,1.5
2026-02-08T11:47:29.651605,simulations_5/particle_sim_random_37.csv,680838,100,1000,"[0, 1, 2, 3]","[40, 30, 30]",0.2,0.8,0.05,10,1.5
2026-02-08T11:47:29.972189,simulations_5/particle_sim_random_38.csv,676735,100,1000,"[0, 1, 2, 3]","[40, 30, 30]",0.8,0.8,0.05,10,1.5
2026-02-08T11:47:30.316965,simulations_5/particle_sim_random_39.csv,658310,100,1100,"[0, 1, 2, 3]","[40, 30, 30]",0.2,0.8,0.05,10,1.5
2026-02-08T11:47:30.655596,simulations_5/particle_sim_random_40.csv,45641,100,1100,"[0, 1, 2, 3]","[40, 30, 30]",0.8,0.8,0.05,10,1.5
2026-02-08T11:47:31.019347,simulations_5/particle_sim_random_41.csv,510671,100,1200,"[0, 1, 2, 3]","[40, 30, 30]",0.2,0.8,0.05,10,1.5
2026-02-08T11:47:31.392245,simulations_5/particle_sim_random_42.csv,35080,100,1200,"[0, 1, 2, 3]","[40, 30, 30]",0.8,0.8,0.05,10,1.5
2026-02-08T11:47:31.865013,simulations_5/particle_sim_random_43.csv,524803,100,1500,"[0, 1, 2, 3]","[40, 30, 30]",0.2,0.8,0.05,10,1.5
2026-02-08T11:47:32.341868,simulations_5/particle_sim_random_44.csv,267324,100,1500,"[0, 1, 2, 3]","[40, 30, 30]",0.8,0.8,0.05,10,1.5
2026-02-08T11:47:32.976576,simulations_5/particle_sim_random_45.csv,426706,100,2000,"[0, 1, 2, 3]","[40, 30, 30]",0.2,0.8,0.05,10,1.5
2026-02-08T11:47:33.749263,simulations_5/particle_sim_random_46.csv,37846,100,2000,"[0, 1, 2, 3]","[40, 30, 30]",0.8,0.8,0.05,10,1.5
2026-02-08T11:47:34.717485,simulations_5/particle_sim_random_47.csv,164847,100,3000,"[0, 1, 2, 3]","[40, 30, 30]",0.2,0.8,0.05,10,1.5
2026-02-08T11:47:35.685288,simulations_5/particle_sim_random_48.csv,32426,100,3000,"[0, 1, 2, 3]","[40, 30, 30]",0.8,0.8,0.05,10,1.5
