frame,id,x,y,cid
0,0,-186.373,-47.407,0
0,1,-186.398,-47.314,0
0,2,-186.466,-47.342,0
0,3,-186.45,-47.432,0
0,4,-186.327,-47.399,0
0,5,-186.665,-47.294,0
0,6,-186.469,-47.4,0
0,7,-186.356,-47.36,0
0,8,-186.81,-47.237,0
0,9,-186.41,-47.224,0
1,0,-186.592,-47.335,0
1,1,-186.625,-47.272,0
1,2,-186.683,-47.27,0
1,3,-186.651,-47.319,0
1,4,-186.548,-47.336,0
1,5,-186.834,-47.138,0
1,6,-186.68,-47.31,0
1,7,-186.577,-47.298,0
1,8,-186.979,-47.082,0
1,9,-186.628,-47.152,0
2,0,-186.797,-47.241,0
2,1,-186.808,-47.137,0
2,2,-186.885,-47.16,0
2,3,-186.862,-47.227,0
2,4,-186.759,-47.242,0
2,5,-187.013,-46.998,0
2,6,-186.875,-47.186,0
2,7,-186.788,-47.205,0
2,8,-187.175,-46.962,0
2,9,-186.844,-47.07,0
3,0,-186.96,-47.081,0
3,1,-186.988,-46.994,0
3,2,-187.07,-47.026,0
3,3,-187.055,-47.1,0
3,4,-186.944,-47.105,0
3,5,-187.214,-46.886,0
3,6,-187.04,-47.026,0
3,7,-186.983,-47.081,0
3,8,-187.384,-46.864,0
3,9,-187.051,-46.97,0
4,0,-187.163,-46.973,0
4,1,-187.204,-46.914,0
4,2,-187.276,-46.923,0
4,3,-187.244,-46.969,0
4,4,-187.118,-46.953,0
4,5,-187.412,-46.766,0
4,6,-187.242,-46.919,0
4,7,-187.16,-46.934,0
4,8,-187.575,-46.735,0
4,9,-187.241,-46.839,0
5,0,-187.349,-46.84,0
5,1,-187.381,-46.767,0
5,2,-187.437,-46.758,0
5,3,-187.445,-46.858,0
5,4,-187.307,-46.821,0
5,5,-187.596,-46.629,0
5,6,-187.455,-46.835,0
5,7,-187.355,-46.811,0
5,8,-187.733,-46.567,0
5,9,-187.42,-46.695,0
6,0,-187.532,-46.7,0
6,1,-187.565,-46.627,0
6,2,-187.604,-46.598,0
6,3,-187.611,-46.699,0
6,4,-187.491,-46.684,0
6,5,-187.772,-46.48,0
6,6,-187.606,-46.661,0
6,7,-187.524,-46.659,0
6,8,-187.878,-46.389,0
6,9,-187.597,-46.547,0
7,0,-187.684,-46.528,0
7,1,-187.746,-46.484,0
7,2,-187.789,-46.463,0
7,3,-187.751,-46.515,0
7,4,-187.654,-46.521,0
7,5,-187.909,-46.297,0
7,6,-187.753,-46.484,0
7,7,-187.696,-46.505,0
