frame,id,x,y,cid
0,0,6.681,387.022,0
0,1,7.06,387.268,0
0,2,7.35,387.492,0
0,3,7.764,387.648,0
0,4,8.141,388.084,0
0,5,7.556,387.456,0
0,6,7.579,387.422,0
0,7,6.58,387.018,0
0,8,6.885,387.189,0
0,9,7.776,387.623,0
0,10,7.38,387.314,0
0,11,6.645,387.121,0
0,12,6.757,387.199,0
0,13,7.228,387.278,0
1,0,6.779,387.083,0
1,1,7.16,387.325,0
1,2,7.435,387.57,0
1,3,7.831,387.742,0
1,4,8.17,388.195,0
1,5,7.635,387.54,0
1,6,7.665,387.498,0
1,7,6.692,387.045,0
1,8,6.992,387.233,0
1,9,7.835,387.722,0
1,10,7.485,387.359,0
1,11,6.748,387.173,0
1,12,6.86,387.252,0
1,13,7.323,387.342,0
2,0,6.873,387.149,0
2,1,7.256,387.389,0
2,2,7.518,387.65,0
2,3,7.897,387.837,0
2,4,8.167,388.309,0
2,5,7.694,387.639,0
2,6,7.75,387.575,0
2,7,6.803,387.078,0
2,8,7.092,387.291,0
2,9,7.889,387.824,0
2,10,7.582,387.422,0
2,11,6.849,387.229,0
2,12,6.961,387.305,0
2,13,7.417,387.41,0
3,0,6.959,387.226,0
3,1,7.358,387.443,0
3,2,7.599,387.732,0
3,3,7.958,387.934,0
3,4,8.107,388.406,0
3,5,7.774,387.722,0
3,6,7.807,387.676,0
3,7,6.901,387.137,0
3,8,7.196,387.34,0
3,9,7.947,387.923,0
3,10,7.671,387.496,0
3,11,6.93,387.31,0
3,12,7.063,387.36,0
3,13,7.505,387.484,0
4,0,7.033,387.314,0
4,1,7.46,387.496,0
4,2,7.671,387.822,0
4,3,7.966,388.047,0
4,4,8.0,388.432,0
4,5,7.844,387.813,0
4,6,7.864,387.776,0
4,7,6.992,387.208,0
4,8,7.306,387.374,0
4,9,7.987,388.031,0
4,10,7.733,387.592,0
4,11,7.005,387.397,0
4,12,7.151,387.434,0
4,13,7.594,387.557,0
5,0,7.119,387.391,0
5,1,7.56,387.552,0
5,2,7.749,387.907,0
5,3,7.93,388.157,0
5,4,7.895,388.384,0
5,5,7.91,387.907,0
5,6,7.893,387.887,0
5,7,7.078,387.285,0
5,8,7.412,387.421,0
5,9,7.987,388.146,0
5,10,7.792,387.691,0
5,11,7.085,387.482,0
5,12,7.242,387.503,0
5,13,7.677,387.636,0
6,0,7.198,387.475,0
6,1,7.646,387.629,0
6,2,7.801,388.01,0
6,3,7.896,388.267,0
6,4,7.796,388.326,0
6,5,7.913,388.02,0
6,6,7.892,388.002,0
6,7,7.172,387.352,0
6,8,7.516,387.47,0
6,9,7.944,388.252,0
6,10,7.839,387.796,0
6,11,7.161,387.568,0
6,12,7.335,387.572,0
6,13,7.755,387.721,0
7,0,7.295,387.537,0
7,1,7.716,387.72,0
7,2,7.849,388.115,0
7,3,7.849,388.372,0
7,4,7.69,388.279,0
7,5,7.883,388.131,0
7,6,7.908,388.116,0
7,7,7.273,387.407,0
7,8,7.614,387.531,0
7,9,7.873,388.343,0
7,10,7.87,387.907,0
7,11,7.24,387.652,0
7,12,7.432,387.634,0
7,13,7.849,387.788,0
8,0,7.382,387.613,0
8,1,7.767,387.823,0
8,2,7.85,388.229,0
8,3,7.769,388.453,0
8,4,7.601,388.211,0
8,5,7.846,388.24,0
8,6,7.916,388.231,0
8,7,7.369,387.469,0
8,8,7.704,387.602,0
8,9,7.789,388.422,0
8,10,7.894,388.02,0
8,11,7.307,387.746,0
8,12,7.52,387.709,0
8,13,7.922,387.875,0
9,0,7.461,387.696,0
9,1,7.787,387.937,0
9,2,7.82,388.341,0
9,3,7.667,388.507,0
9,4,7.512,388.14,0
9,5,7.812,388.35,0
9,6,7.901,388.346,0
9,7,7.447,387.554,0
9,8,7.773,387.694,0
9,9,7.701,388.496,0
9,10,7.899,388.135,0
9,11,7.376,387.838,0
9,12,7.588,387.801,0
9,13,7.947,387.987,0
10,0,7.527,387.791,0
10,1,7.821,388.047,0
10,2,7.81,388.455,0
10,3,7.556,388.538,0
10,4,7.433,388.059,0
10,5,7.76,388.453,0
10,6,7.883,388.46,0
10,7,7.504,387.654,0
10,8,7.813,387.802,0
10,9,7.625,388.583,0
10,10,7.9,388.251,0
10,11,7.432,387.938,0
10,12,7.645,387.902,0
10,13,7.928,388.1,0
11,0,7.609,387.871,0
11,1,7.836,388.161,0
11,2,7.783,388.567,0
11,3,7.442,388.525,0
11,4,7.409,387.947,0
11,5,7.712,388.559,0
11,6,7.82,388.556,0
11,7,7.569,387.749,0
11,8,7.859,387.907,0
11,9,7.581,388.689,0
11,10,7.9,388.366,0
11,11,7.436,388.053,0
11,12,7.68,388.012,0
11,13,7.884,388.206,0
12,0,7.648,387.98,0
12,1,7.809,388.272,0
12,2,7.744,388.676,0
12,3,7.329,388.503,0
12,4,7.408,387.831,0
12,5,7.646,388.653,0
12,6,7.746,388.642,0
12,7,7.633,387.845,0
12,8,7.927,388.0,0
12,9,7.525,388.79,0
12,10,7.857,388.473,0
12,11,7.431,388.168,0
