frame,id,x,y,cid
0,0,349.635,108.401,0
0,1,349.695,108.342,0
0,2,349.746,108.407,0
0,3,349.696,108.361,0
1,0,349.712,108.429,0
1,1,349.774,108.363,0
1,2,349.825,108.43,0
1,3,349.771,108.395,0
2,0,349.788,108.46,0
2,1,349.851,108.392,0
2,2,349.901,108.461,0
2,3,349.845,108.431,0
3,0,349.859,108.501,0
3,1,349.925,108.429,0
3,2,349.969,108.507,0
3,3,349.918,108.471,0
4,0,349.936,108.531,0
4,1,349.992,108.477,0
4,2,350.04,108.55,0
4,3,349.991,108.508,0
5,0,350.011,108.566,0
5,1,350.064,108.516,0
5,2,350.102,108.603,0
5,3,350.067,108.541,0
6,0,350.086,108.6,0
6,1,350.134,108.56,0
6,2,350.167,108.654,0
6,3,350.133,108.589,0
7,0,350.157,108.642,0
7,1,350.198,108.611,0
7,2,350.235,108.7,0
7,3,350.203,108.633,0
8,0,350.226,108.687,0
8,1,350.264,108.661,0
8,2,350.303,108.746,0
8,3,350.27,108.68,0
9,0,350.299,108.725,0
9,1,350.334,108.704,0
9,2,350.376,108.786,0
9,3,350.34,108.725,0
10,0,350.368,108.769,0
10,1,350.407,108.742,0
10,2,350.445,108.831,0
10,3,350.415,108.757,0
11,0,350.44,108.809,0
11,1,350.479,108.781,0
11,2,350.523,108.857,0
11,3,350.487,108.798,0
12,0,350.513,108.849,0
12,1,350.552,108.819,0
12,2,350.605,108.864,0
12,3,350.555,108.843,0
13,0,350.588,108.881,0
13,1,350.629,108.849,0
13,2,350.685,108.881,0
13,3,350.632,108.872,0
14,0,350.666,108.909,0
14,1,350.708,108.872,0
14,2,350.766,108.896,0
14,3,350.71,108.899,0
15,0,350.746,108.93,0
15,1,350.786,108.898,0
15,2,350.849,108.9,0
15,3,350.789,108.924,0
16,0,350.826,108.951,0
16,1,350.867,108.916,0
16,2,350.931,108.907,0
16,3,350.867,108.948,0
17,0,350.907,108.962,0
17,1,350.948,108.931,0
17,2,351.013,108.914,0
17,3,350.95,108.947,0
18,0,350.989,108.959,0
18,1,351.028,108.949,0
18,2,351.094,108.928,0
18,3,351.032,108.949,0
19,0,351.072,108.956,0
19,1,351.109,108.961,0
19,2,351.176,108.928,0
19,3,351.114,108.958,0
20,0,351.154,108.955,0
20,1,351.191,108.955,0
20,2,351.258,108.923,0
20,3,351.196,108.963,0
21,0,351.236,108.943,0
21,1,351.273,108.949,0
21,2,351.34,108.93,0
21,3,351.278,108.955,0
22,0,351.318,108.945,0
22,1,351.356,108.944,0
22,2,351.421,108.917,0
22,3,351.358,108.934,0
23,0,351.4,108.943,0
23,1,351.438,108.938,0
23,2,351.503,108.904,0
23,3,351.438,108.916,0
24,0,351.481,108.927,0
24,1,351.516,108.913,0
24,2,351.585,108.896,0
24,3,351.519,108.901,0
25,0,351.562,108.91,0
25,1,351.596,108.891,0
25,2,351.666,108.883,0
25,3,351.6,108.883,0
26,0,351.644,108.904,0
26,1,351.676,108.871,0
26,2,351.748,108.871,0
26,3,351.678,108.858,0
27,0,351.724,108.883,0
27,1,351.756,108.852,0
27,2,351.826,108.846,0
27,3,351.758,108.839,0
28,0,351.801,108.855,0
28,1,351.832,108.822,0
28,2,351.903,108.818,0
28,3,351.835,108.808,0
29,0,351.878,108.826,0
29,1,351.907,108.788,0
29,2,351.974,108.776,0
29,3,351.91,108.776,0
30,0,351.952,108.79,0
30,1,351.978,108.746,0
30,2,352.045,108.734,0
30,3,351.985,108.74,0
31,0,352.021,108.745,0
31,1,352.054,108.714,0
31,2,352.126,108.72,0
31,3,352.061,108.71,0
32,0,352.099,108.718,0
32,1,352.136,108.703,0
32,2,352.208,108.719,0
32,3,352.138,108.681,0
33,0,352.18,108.705,0
33,1,352.216,108.683,0
33,2,352.288,108.702,0
33,3,352.218,108.662,0
34,0,352.261,108.692,0
34,1,352.297,108.67,0
34,2,352.369,108.688,0
34,3,352.3,108.654,0
35,0,352.344,108.695,0
35,1,352.379,108.67,0
35,2,352.451,108.679,0
35,3,352.382,108.665,0
36,0,352.426,108.701,0
36,1,352.46,108.685,0
36,2,352.534,108.678,0
36,3,352.464,108.673,0
37,0,352.507,108.687,0
37,1,352.542,108.685,0
37,2,352.616,108.676,0
37,3,352.546,108.672,0
38,0,352.586,108.665,0
38,1,352.625,108.682,0
38,2,352.698,108.673,0
38,3,352.628,108.664,0
39,0,352.667,108.65,0
39,1,352.707,108.678,0
39,2,352.78,108.68,0
39,3,352.708,108.647,0
40,0,352.749,108.643,0
40,1,352.789,108.676,0
40,2,352.862,108.686,0
40,3,352.789,108.632,0
41,0,352.832,108.64,0
41,1,352.871,108.669,0
41,2,352.945,108.688,0
41,3,352.871,108.621,0
42,0,352.914,108.648,0
42,1,352.953,108.668,0
42,2,353.026,108.675,0
42,3,352.953,108.612,0
43,0,352.995,108.66,0
43,1,353.036,108.667,0
43,2,353.107,108.66,0
43,3,353.035,108.61,0
44,0,353.077,108.666,0
44,1,353.118,108.673,0
44,2,353.189,108.655,0
44,3,353.117,108.604,0
45,0,353.159,108.674,0
45,1,353.2,108.675,0
45,2,353.271,108.651,0
45,3,353.198,108.617,0
46,0,353.241,108.681,0
46,1,353.283,108.669,0
46,2,353.353,108.662,0
46,3,353.278,108.639,0
47,0,353.323,108.69,0
47,1,353.364,108.678,0
47,2,353.432,108.686,0
47,3,353.358,108.657,0
48,0,353.403,108.71,0
48,1,353.442,108.704,0
48,2,353.505,108.723,0
48,3,353.437,108.682,0
49,0,353.478,108.745,0
49,1,353.518,108.736,0
49,2,353.584,108.749,0
49,3,353.515,108.705,0
50,0,353.551,108.784,0
50,1,353.598,108.756,0
50,2,353.661,108.778,0
50,3,353.592,108.734,0
51,0,353.629,108.81,0
51,1,353.675,108.783,0
51,2,353.733,108.817,0
51,3,353.667,108.769,0
52,0,353.707,108.837,0
52,1,353.747,108.824,0
52,2,353.804,108.858,0
52,3,353.736,108.813,0
53,0,353.777,108.879,0
53,1,353.819,108.863,0
53,2,353.874,108.902,0
53,3,353.811,108.847,0
54,0,353.839,108.933,0
54,1,353.879,108.919,0
54,2,353.938,108.955,0
54,3,353.886,108.882,0
55,0,353.892,108.996,0
55,1,353.928,108.986,0
55,2,354.008,108.999,0
55,3,353.952,108.932,0
56,0,353.959,109.044,0
56,1,353.988,109.042,0
56,2,354.078,109.041,0
56,3,354.014,108.986,0
57,0,354.026,109.092,0
57,1,354.05,109.096,0
57,2,354.133,109.102,0
57,3,354.073,109.044,0
58,0,354.093,109.14,0
58,1,354.113,109.148,0
58,2,354.193,109.158,0
58,3,354.13,109.103,0
59,0,354.158,109.191,0
59,1,354.176,109.202,0
59,2,354.256,109.211,0
59,3,354.185,109.164,0
60,0,354.221,109.243,0
60,1,354.243,109.249,0
60,2,354.328,109.252,0
60,3,354.25,109.216,0
61,0,354.291,109.287,0
61,1,354.316,109.287,0
61,2,354.406,109.278,0
61,3,354.324,109.25,0
62,0,354.359,109.333,0
62,1,354.398,109.3,0
62,2,354.486,109.297,0
62,3,354.401,109.28,0
63,0,354.44,109.342,0
63,1,354.48,109.307,0
63,2,354.563,109.326,0
63,3,354.478,109.31,0
64,0,354.522,109.355,0
64,1,354.561,109.317,0
64,2,354.645,109.336,0
64,3,354.557,109.333,0
65,0,354.602,109.374,0
65,1,354.643,109.329,0
65,2,354.727,109.328,0
65,3,354.636,109.355,0
66,0,354.683,109.384,0
66,1,354.725,109.338,0
66,2,354.809,109.322,0
66,3,354.717,109.368,0
67,0,354.766,109.384,0
67,1,354.807,109.341,0
67,2,354.891,109.323,0
67,3,354.8,109.369,0
68,0,354.848,109.378,0
68,1,354.889,109.341,0
68,2,354.974,109.324,0
68,3,354.882,109.366,0
69,0,354.93,109.37,0
69,1,354.972,109.342,0
69,2,355.056,109.333,0
69,3,354.964,109.358,0
70,0,355.011,109.366,0
70,1,355.054,109.348,0
70,2,355.137,109.345,0
70,3,355.046,109.361,0
71,0,355.094,109.367,0
71,1,355.136,109.351,0
71,2,355.217,109.365,0
71,3,355.129,109.361,0
72,0,355.176,109.364,0
72,1,355.218,109.359,0
72,2,355.297,109.384,0
72,3,355.21,109.375,0
73,0,355.258,109.369,0
73,1,355.3,109.365,0
73,2,355.379,109.392,0
73,3,355.291,109.391,0
74,0,355.341,109.37,0
74,1,355.382,109.37,0
74,2,355.461,109.399,0
74,3,355.373,109.399,0
75,0,355.422,109.381,0
75,1,355.464,109.382,0
75,2,355.543,109.409,0
75,3,355.453,109.418,0
76,0,355.504,109.393,0
76,1,355.543,109.402,0
76,2,355.624,109.423,0
76,3,355.532,109.442,0
77,0,355.584,109.411,0
77,1,355.624,109.421,0
77,2,355.706,109.435,0
77,3,355.612,109.463,0
78,0,355.665,109.428,0
78,1,355.703,109.441,0
